Orf,Beyer_Phi,SEMPPR_Mean_Phi,Ingolia_Phi
YBR039W,0.178318093,0.222405763,2.67314007
YBR040W,0.006545138,0.055743858,NA
YBR041W,0.104867574,0.022322863,0.155316117
YBR042C,0.035506801,0.01450248,0.453015484
YBR043C,0.009788379,0.012849953,0.015408879
YBR044C,0.006441894,0.018116068,0.056099405
YBR045C,0.002516265,0.008180644,NA
YBR046C,0.067372495,0.032128562,0.216446848
YBR048W,2.130417599,1.424414573,NA
YBR049C,0.056361387,0.014952745,0.231091046
YBR050C,0.019280521,0.01073335,NA
YBR052C,0.205773766,0.073691334,1.772854558
YBR054W,0.101735046,0.168389952,0.094364384
YBR055C,0.007054017,0.00724867,0.040690769
YBR057C,0.011722785,0.03478501,0.234227413
YBR058C,0.03960076,0.009522334,0.182291275
YBR058C-A,NA,NA,18.57407711
YBR059C,0.025277,0.005899956,0.039404443
YBR060C,0.012280494,0.005930066,0.053892518
YBR061C,0.093926197,0.04242354,0.542042777
YBR065C,0.004003236,0.01294731,0.064182687
YBR066C,0.021455001,0.033962726,0.784125468
YBR067C,0.698155544,0.491598343,16.66334705
YBR068C,0.09921754,0.019481925,4.520671854
YBR069C,0.265844509,0.009558862,2.143257099
YBR070C,0.045774718,0.024826478,0.137348038
YBR072W,0.029750022,0.207389794,0.074445882
YBR073W,0.110991156,0.007149258,0.12787094
YBR076W,0.00236666,0.020524814,NA
YBR077C,0.032770731,0.098047329,1.531680444
YBR078W,0.542369525,0.151851607,59.0145285
YBR079C,0.245047297,0.026082234,2.342171052
YBR080C,0.083443433,0.014498879,0.401574952
YBR081C,0.006608676,0.003718351,0.028198366
YBR082C,1.264901717,0.331867015,21.66078954
YBR083W,0.089038803,0.007121822,0.050464582
YBR084C-A,1.476177424,1.180624386,NA
YBR084W,0.203562232,0.011816031,1.401284917
YBR085W,0.038433454,0.064233399,0.148630056
YBR086C,0.215452405,0.009900756,0.264354291
YBR087W,0.084086706,0.030158325,0.821876761
YBR088C,0.361093469,0.076422013,3.149899519
YBR089C-A,NA,NA,NA
YBR091C,0.174841178,0.038007844,0.955286499
YBR092C,0.527429316,0.099105731,NA
YBR093C,0.251768183,0.122596062,NA
YBR094W,0.018270922,0.017314395,0.092106803
YBR095C,0.044181141,0.033459392,0.136925182
YBR097W,0.005802892,0.002842296,0.004169994
YBR098W,0.001807695,0.007343453,0.00811487
YBR101C,0.161430243,0.038895286,4.361883833
YBR102C,0.00662716,0.006968758,0.03361152
YBR103W,0.04038295,0.005511166,0.126893117
YBR104W,0.036520413,0.035732679,0.803023159
YBR105C,0.027047832,0.025338218,0.014719396
YBR106W,1.615952865,0.524697634,145.6045318
YBR107C,0.017061271,0.034604994,NA
YBR109C,0.592753385,0.222492279,23.12688714
YBR110W,0.035020298,0.027655377,0.31483952
YBR111C,0.350474755,0.146316756,4.894378067
YBR111W-A,NA,NA,2.247231626
YBR112C,0.045598795,0.009725546,NA
YBR114W,0.002993272,0.010479696,0.006591051
YBR115C,0.058162855,0.00880677,0.198179859
YBR117C,0.001251159,0.016981484,NA
YBR118W,15.33469025,0.581099256,NA
YBR119W,0.0286909,0.015807386,0.071001957
YBR120C,0.034675336,0.108373736,0.396630141
YBR121C,0.591272852,0.068501965,13.81017815
YBR122C,0.035349153,0.181581321,1.853803784
YBR123C,0.027171585,0.014912707,0.070911004
YBR125C,0.041481255,0.023432648,0.118774022
YBR126C,0.272325765,0.029358206,1.378475144
YBR127C,0.481524844,0.068299049,22.29805817
YBR128C,0.004076128,0.00741412,NA
YBR129C,0.02590921,0.022436087,0.417967748
YBR130C,0.024988273,0.036466499,0.262670816
YBR131W,0.006269818,0.012938132,0.007830498
YBR132C,0.005438987,0.013901864,0.010203868
YBR133C,0.021497457,0.008486301,0.025138779
YBR135W,0.170342492,0.075003229,0.532180706
YBR136W,0.002925991,0.001289961,0.001357356
YBR139W,0.115639037,0.019360417,0.097387552
YBR140C,0.005786132,0.000590736,0.003211733
YBR142W,0.116552334,0.019906588,0.390469515
YBR143C,0.409396909,0.083381493,23.48837948
YBR145W,0.075403427,0.081516198,0.05949969
YBR146W,0.063926534,0.050320897,0.601956182
YBR148W,0.004199971,0.01839018,NA
YBR149W,0.184359944,0.067906904,0.775617955
YBR150C,0.001690821,0.004117547,NA
YBR151W,0.075209776,0.033666871,0.844580763
YBR152W,0.002056318,0.042842149,0.036557218
YBR153W,0.051816072,0.022861382,0.138630084
YBR154C,0.277535702,0.161400569,20.71257403
YBR155W,0.072029593,0.039231697,0.319876928
YBR156C,0.007817099,0.010524231,0.008283256
YBR157C,0.00942774,0.077834866,0.397669129
YBR158W,0.071960098,0.014410185,1.018106807
YBR159W,0.314609803,0.088264513,5.354008803
YBR160W,0.142846886,0.061824653,0.950478371
YBR161W,0.01739011,0.017888513,0.077698644
YBR162C,0.517800982,0.105297276,4.835670576
YBR162W-A,0.905102836,0.184662888,39.73969735
YBR163W,0.006801764,0.011037191,0.017136864
YBR164C,0.152625733,0.101336831,5.685486168
YBR165W,0.023249287,0.020454917,0.322625239
YBR166C,0.075689663,0.015390711,0.531399919
YBR167C,0.017263142,0.157934912,0.191336154
YBR168W,0.001152899,0.018759617,0.035690555
YBR169C,0.016118872,0.017455259,0.024069927
YBR170C,0.041055005,0.006130147,0.170903457
YBR171W,0.226024713,0.1163203,3.14334209
YBR172C,0.011223988,0.017365687,0.178024155
YBR173C,0.133787931,0.130218079,2.356435075
YBR175W,0.030339544,0.015479415,0.346872712
YBR176W,0.019487874,0.033090868,0.184769239
YBR177C,0.126087573,0.02407825,0.289136692
YBR179C,0.008955621,0.009009317,0.037848999
YBR180W,0.006945157,0.010340188,NA
YBR181C,3.870676869,1.648257406,NA
YBR182C,0.003915576,0.017704057,0.008371692
YBR183W,0.024682973,0.018100221,0.032562224
YBR185C,0.043480345,0.035296136,0.139522221
YBR186W,0.001012295,0.005631458,NA
YBR188C,0.035533076,0.029275656,0.231304234
YBR189W,1.66262664,2.947508072,4311.513633
YBR191W,13.60777747,1.262589323,NA
YBR192W,0.021153247,0.023488944,0.389513101
YBR193C,0.010922878,0.057120121,0.092561786
YBR195C,0.012581017,0.015794198,0.077487783
YBR196C,1.607867586,0.235037554,177.013228
YBR198C,0.081074346,0.008763888,0.103345989
YBR199W,0.169840885,0.014847122,1.820494363
YBR200W,0.027126372,0.020323898,0.115763587
YBR201W,0.026686521,0.069714885,0.271280725
YBR202W,0.024444486,0.015066031,0.117300467
YBR203W,0.003978917,0.010373326,NA
YBR205W,0.145696042,0.028404026,1.809966725
YBR207W,0.245330202,0.013046736,0.22769522
YBR208C,0.019705598,0.004276953,0.008611961
